Rvv,muvv,mupv,sigmav,C,conv_status
0.015, 1.0, 0.1, 0.093, 0.24018829977331993, true
0.015, 1.0, 0.1, 0.117, 0.2403953916074676, true
0.0, 1.0, 0.1, 0.138, 0.24049206783384577, true
0.005, 1.0, 0.1, 0.048, 0.23854648444510387, true
0.01, 1.0, 0.1, 0.108, 0.24036085988143668, true
0.005, 1.0, 0.1, 0.057, 0.23922583055263835, true
0.005, 1.0, 0.1, 0.117, 0.24039591072946578, true
0.015, 1.0, 0.1, 0.15, 0.2405463097259876, true
0.01, 1.0, 0.1, 0.003, 0.2230954905627931, true
0.0, 1.0, 0.1, 0.093, 0.24018895063048493, true
0.01, 1.0, 0.1, 0.138, 0.24049238477833618, true
0.01, 1.0, 0.1, 0.099, 0.2402807557068411, true
0.005, 1.0, 0.1, 0.081, 0.24005188596727947, true
0.01, 1.0, 0.1, 0.141, 0.2405129673661236, true
0.005, 1.0, 0.1, 0.012, 0.22795759366138127, true
0.015, 1.0, 0.1, 0.123, 0.2404296638542759, true
0.005, 1.0, 0.1, 0.084, 0.2400800165383375, true
0.005, 1.0, 0.1, 0.123, 0.2404275234762438, true
0.0, 1.0, 0.1, 0.141, 0.24051230893864514, true
0.005, 1.0, 0.1, 0.021, 0.23206782006499477, true
0.005, 1.0, 0.1, 0.042, 0.2378596492346474, true
0.005, 1.0, 0.1, 0.033, 0.23626766674681335, true
0.0, 1.0, 0.1, 0.105, 0.24035345121913637, true
0.01, 1.0, 0.1, 0.114, 0.24039009958656532, true
0.005, 1.0, 0.1, 0.12, 0.24043804169147376, true
0.01, 1.0, 0.1, 0.129, 0.24048130933002074, true
0.015, 1.0, 0.1, 0.084, 0.24008036812897565, true
0.015, 1.0, 0.1, 0.012, 0.22779410794783644, true
0.01, 1.0, 0.1, 0.09, 0.24013292812028916, true
0.01, 1.0, 0.1, 0.063, 0.23951866894427393, true
0.02, 1.0, 0.1, 0.03, 0.23522163861522016, true
0.0, 1.0, 0.1, 0.081, 0.2400513773528244, true
0.01, 1.0, 0.1, 0.075, 0.23994232617617006, true
0.0, 1.0, 0.1, 0.135, 0.24047357993913654, true
0.015, 1.0, 0.1, 0.09, 0.24013572388818893, true
0.015, 1.0, 0.1, 0.003, 0.22299968253649158, true
0.015, 1.0, 0.1, 0.054, 0.2390503455811179, true
0.01, 1.0, 0.1, 0.105, 0.24035443415844907, true
0.015, 1.0, 0.1, 0.015, 0.22928268400463872, true
0.02, 1.0, 0.1, 0.006, 0.22386273598960227, true
0.005, 1.0, 0.1, 0.009, 0.22652061456401607, true
0.015, 1.0, 0.1, 0.027, 0.23385716071121598, true
0.005, 1.0, 0.1, 0.126, 0.24047040542321896, true
0.015, 1.0, 0.1, 0.06, 0.23937705380852362, true
0.0, 1.0, 0.1, 0.132, 0.24047542986471554, true
0.015, 1.0, 0.1, 0.036, 0.23694414336135228, true
0.015, 1.0, 0.1, 0.114, 0.24038822696490705, true
0.005, 1.0, 0.1, 0.147, 0.24053309834971173, true
0.01, 1.0, 0.1, 0.054, 0.23905100043421498, true
0.01, 1.0, 0.1, 0.027, 0.2339003778728313, true
0.02, 1.0, 0.1, 0.003, 0.22299656578301208, true
0.0, 1.0, 0.1, 0.099, 0.24028073766366964, true
0.015, 1.0, 0.1, 0.135, 0.2404785256322276, true
0.0, 1.0, 0.1, 0.114, 0.2403914182027794, true
0.005, 1.0, 0.1, 0.003, 0.22359387961838956, true
0.015, 1.0, 0.1, 0.138, 0.24049204243590983, true
0.02, 1.0, 0.1, 0.024, 0.2331562583801553, true
0.015, 1.0, 0.1, 0.006, 0.2244006184202009, true
0.01, 1.0, 0.1, 0.111, 0.2403701535119759, true
