Rvv,muvv,mupv,sigmav,C,conv_status
0.1, 1.0, 0.08, 0.15, 0.24058686136844254, true
0.1, 1.0, 0.08, 0.34, 0.24067370565720358, true
0.1, 1.0, 0.08, 0.17, 0.24063168473846175, true
0.1, 1.0, 0.04, 0.35, 0.24069319043336, true
0.1, 1.0, 0.0, 0.04, 0.24070531302331283, true
0.1, 1.0, 0.08, 0.31, 0.24068541321675296, true
0.1, 1.0, 0.16, 0.05, 0.23407961505771613, true
0.1, 1.0, 0.08, 0.24, 0.24065757452800757, true
0.1, 1.0, 0.2, 0.03, 0.2288259989327256, true
0.1, 1.0, 0.08, 0.33, 0.2406862660380168, true
0.1, 1.0, 0.0, 0.35, 0.2407020245569128, true
0.1, 1.0, 0.0, 0.12, 0.24071983822733842, true
0.1, 1.0, 0.08, 0.01, 0.22461097344528538, true
0.1, 1.0, 0.12, 0.31, 0.2406808124864248, true
0.1, 1.0, 0.08, 0.12, 0.24047559649580097, true
0.1, 1.0, 0.04, 0.12, 0.2406117850239897, true
0.1, 1.0, 0.16, 0.28, 0.24066279019291884, true
0.1, 1.0, 0.0, 0.03, 0.21803010497141448, false
0.1, 1.0, 0.08, 0.28, 0.24068290434300033, true
0.1, 1.0, 0.0, 0.21, 0.24070271382199845, true
0.1, 1.0, 0.16, 0.35, 0.2406924011267721, true
0.1, 1.0, 0.12, 0.04, 0.23436442126915039, true
0.1, 1.0, 0.12, 0.1, 0.24017010359581759, true
0.1, 1.0, 0.08, 0.3, 0.24069108594365082, true
0.1, 1.0, 0.2, 0.1, 0.23976514259833118, true
0.1, 1.0, 0.16, 0.0, 0.2224550370370373, true
0.1, 1.0, 0.16, 0.02, 0.2265943094246083, true
0.1, 1.0, 0.12, 0.14, 0.2404600035813694, true
0.1, 1.0, 0.12, 0.32, 0.24068973380043449, true
0.1, 1.0, 0.12, 0.24, 0.24064009921875842, true
0.1, 1.0, 0.08, 0.04, 0.23600639025256814, true
0.1, 1.0, 0.16, 0.18, 0.2405347202217325, true
0.1, 1.0, 0.2, 0.06, 0.237099703884814, true
0.1, 1.0, 0.12, 0.3, 0.24069904153583938, true
0.1, 1.0, 0.04, 0.34, 0.2406725892283007, true
0.1, 1.0, 0.16, 0.16, 0.24047518423084863, true
0.1, 1.0, 0.04, 0.14, 0.24061470152769082, true
0.1, 1.0, 0.08, 0.13, 0.24051807870164552, true
0.1, 1.0, 0.04, 0.02, 0.22726890562105123, true
0.1, 1.0, 0.16, 0.06, 0.23785814812442524, true
0.1, 1.0, 0.04, 0.01, 0.2247052707533598, true
0.1, 1.0, 0.0, 0.02, 0.24143882002543843, true
0.1, 1.0, 0.16, 0.26, 0.24065728906249548, true
0.1, 1.0, 0.12, 0.05, 0.23639884267229241, true
0.1, 1.0, 0.04, 0.2, 0.24066593992264465, true
0.1, 1.0, 0.12, 0.01, 0.22451381419095065, true
0.1, 1.0, 0.0, 0.34, 0.24067720193091485, true
0.1, 1.0, 0.16, 0.08, 0.23937176464634433, true
0.1, 1.0, 0.12, 0.15, 0.24050277682391347, true
0.1, 1.0, 0.12, 0.33, 0.24068600211552693, true
0.1, 1.0, 0.16, 0.22, 0.2405948331791311, true
0.1, 1.0, 0.0, 0.01, 0.24023058387264598, true
0.1, 1.0, 0.12, 0.03, 0.22974929816588144, true
0.1, 1.0, 0.12, 0.02, 0.22679132584399878, true
0.1, 1.0, 0.0, 0.23, 0.24069085691190406, true
0.1, 1.0, 0.0, 0.2, 0.24069417822361466, true
0.1, 1.0, 0.08, 0.19, 0.24062156244744998, true
0.1, 1.0, 0.08, 0.18, 0.24060088899004473, true
0.1, 1.0, 0.16, 0.07, 0.2387768486625118, true
0.1, 1.0, 0.08, 0.25, 0.24066176818648033, true
0.1, 1.0, 0.04, 0.08, 0.24039144375828714, true
0.1, 1.0, 0.08, 0.03, 0.22993876260992352, true
0.1, 1.0, 0.12, 0.34, 0.2406769453577875, true
0.1, 1.0, 0.16, 0.01, 0.22442441188744044, true
0.1, 1.0, 0.0, 0.09, 0.24069358869258417, true
0.1, 1.0, 0.2, 0.07, 0.23835697275296439, true
0.1, 1.0, 0.0, 0.08, 0.24072124194710234, true
0.1, 1.0, 0.0, 0.0, 0.23917381032638196, true
0.1, 1.0, 0.0, 0.17, 0.24070698897126422, true
0.1, 1.0, 0.2, 0.08, 0.2390025475311071, true
0.1, 1.0, 0.04, 0.09, 0.24045255722279163, true
0.1, 1.0, 0.04, 0.27, 0.2407012763922231, true
0.1, 1.0, 0.04, 0.22, 0.2406502348966262, true
0.1, 1.0, 0.12, 0.13, 0.24042846452400138, true
0.1, 1.0, 0.0, 0.15, 0.240709448036463, true
0.1, 1.0, 0.04, 0.0, 0.22245503704729974, true
0.1, 1.0, 0.12, 0.2, 0.24061850051972505, true
0.1, 1.0, 0.2, 0.11, 0.23997523162818346, true
0.1, 1.0, 0.2, 0.01, 0.22434549096273504, true
0.1, 1.0, 0.2, 0.05, 0.22968162203653752, true
0.1, 1.0, 0.04, 0.21, 0.2406706443292388, true
0.1, 1.0, 0.08, 0.14, 0.24053417821966883, true
0.1, 1.0, 0.2, 0.02, 0.2264339508855316, true
0.1, 1.0, 0.28, 0.08, 0.23831503141927585, true
0.1, 1.0, 0.36, 0.29, 0.240619338869154, true
0.1, 1.0, 0.36, 0.34, 0.24065442625246436, true
0.1, 1.0, 0.32, 0.31, 0.2406433004613604, true
0.1, 1.0, 0.28, 0.22, 0.24051233756277374, true
0.1, 1.0, 0.24, 0.08, 0.2386446089577778, true
0.1, 1.0, 0.24, 0.12, 0.23996738073264567, true
0.1, 1.0, 0.36, 0.26, 0.24057400538389234, true
0.1, 1.0, 0.2, 0.23, 0.24059088647515872, true
0.1, 1.0, 0.32, 0.25, 0.24056844024321475, true
0.1, 1.0, 0.32, 0.02, 0.22603844939811027, true
0.1, 1.0, 0.32, 0.05, 0.23334166774270287, true
0.1, 1.0, 0.24, 0.11, 0.23978519222968062, true
0.1, 1.0, 0.28, 0.2, 0.24049893285398813, true
0.1, 1.0, 0.24, 0.17, 0.24042105171460176, true
0.1, 1.0, 0.32, 0.21, 0.2404609090984706, true
0.1, 1.0, 0.24, 0.25, 0.24058607842731633, true
0.1, 1.0, 0.36, 0.17, 0.24027034550845505, true
0.1, 1.0, 0.24, 0.15, 0.24029849630831093, true
0.1, 1.0, 0.2, 0.35, 0.24069020592002865, true
0.1, 1.0, 0.2, 0.32, 0.24067668639364848, true
0.1, 1.0, 0.28, 0.15, 0.24022885832405566, true
0.1, 1.0, 0.32, 0.3, 0.24063683558648363, true
0.1, 1.0, 0.32, 0.35, 0.24068149558598942, true
0.1, 1.0, 0.28, 0.07, 0.23727870507675208, true
0.1, 1.0, 0.2, 0.18, 0.2404870589780352, true
0.1, 1.0, 0.32, 0.09, 0.2387392213842596, true
0.1, 1.0, 0.32, 0.18, 0.24035393471705455, true
0.1, 1.0, 0.32, 0.28, 0.24060501530328324, true
0.1, 1.0, 0.36, 0.0, 0.22245503703703726, true
0.1, 1.0, 0.2, 0.12, 0.2400729789626585, true
0.1, 1.0, 0.28, 0.33, 0.24065630996692605, true
0.1, 1.0, 0.4, 0.22, 0.24045708487779893, true
